iDISK_ID,Name,CUI,Background,Safety,Mechanism of action,Source Material,Common Names,NHP_Name,DSLD_Name,MSKCC_Name,NM_Name
DSI003144,Cinnamomum loureiroi,C2804265,,,,Bark,,Cinnamomum loureiroi,Saigon cinnamon,,
DSI003145,Ustilago maydis,C3484455,,,,Fungus,,Ustilago maydis,,,
DSI003146,L-5-aminorvaline,,,,,,,L-5-aminorvaline,,,
DSI003147,Lagerstroemia Speciosa Leaf,C5243095,,,,Leaf,,Lagerstroemia Speciosa,,,
DSI003148,Aquilegia vulgaris,C0330268,,,,Whole flowering plant,,Aquilegia vulgaris,Columbine,,
DSI003149,Chondroitin,C0008454,,,,,,Chondroitin,Chondroitin (unspecified),,
DSI003150,Mycobacterium phlei,,,,,Whole species,,Mycobacterium phlei,,,
DSI003151,Zinc gluconate,C0149381,,,,,,Zinc gluconate,,,
DSI003152,Amanita muscaria,,,,,Champignon entier frais,,Amanita muscaria,,,
DSI003153,sugar,C0242209,,,,Whole,,4-hydroxy-3-methoxycinnamoyl-sugar hydrolase,,,
DSI003154,Benzocaine,C0005059,,,,,,Benzocaine | Ethyl p-aminobenzoate,,,
DSI003155,Coptis trifolia,C1007766,,,,Root,,Coptis trifolia,,,
DSI003156,Reishi mushroom,,,,,,,Reishi mushroom,Reishi mushroom,,
DSI003157,Boric Acid,C0006020,,,,Boric Acid,,Boric Acid,Boric acid,,
DSI003158,Crypthecodinium cohnii,,,,,Whole,,Crypthecodinium cohnii,,,
DSI003159,Ferrous sulfate,C0060282,,,,Elemental iron,,Ferrous sulfate | Anhydrous Ferrous Sulfate | Dried Ferrous sulfate powder,,,
DSI003160,Sweet almond oil,,,,,Prunus dulcis (vegetal),,Sweet almond oil,,,
DSI003161,Euphausia superba,,,,,Euphausia superba - Whole,,Euphausia superba,,,
DSI003162,Fragaria,C1080863,,,,Fruit concentrate,,Fragaria spp.,,,
DSI003163,Castor oil,C0007343,"Castor oil is a thick, odorless oil extracted from the bean of the tropical flowering shrub Ricinus communis. It has been historically used to relieve constipation, stomach aches, colds, fever, as an eye lotion, and to induce labor. Currently it is used as a laxative and as an emollient in cosmetics and personal care products, drug delivery systems and wound dressings . Castor oil is approved by the FDA for safe and effective use as a stimulant laxative.In preclinical studies castor oil demonstrated antioxidant, antimicrobial, antiviral, anti-inflammatory, wound-healing, antinociceptive and cytotoxic effects . Limited clinical data suggest benefits for eye diseases , knee osteoarthritis and a meta-analysis determined it can potentially improve the completion rate (CR) and polyp detection rate in colon capsule endoscopy (CCE). The authors suggest it should be actively considered as a viable component for bowel preparation alongside other emerging laxative regimens . Studies also support use of castor oil for inducing labor .Castor oil and CancerCenturies ago, castor oil was among the treatment options for breast cancer that was attributed to an excess of black bile by the Greek physicians Hippocrates and Galen . Castor oil packs were also popularized in the 1920s by Edgar Cayce, a self-proclaimed psychic and faith healer, to eradicate tumors near the breast surface .More recently, a castor plant fruit extract showed antiproliferative activity against breast cancer cell lines in vitro and a castor oil extract had a suppressive effect on S180 body tumors and ascites tumors in murine models . According to a case report, a formulation containing Balsam Peru, trypsin and hydrogenated castor oil accelerated wound healing in a breast cancer patient following radical mastectomy . But there are no studies in humans that show castor oil has anti-cancer effects.",,"Pharmacological studies revealed the main constituent ricinoleic acid to be responsible for the laxative effects of castor oil by influencing intestinal ion transport, water flux, and intestinal motility – through activation of EP3 and EP4 prostanoid receptors in smooth muscle cells. Research is needed to determine how castor oil induces labor (14).",Seed(s) | Graines de ricinus communis,Palm of Christ | Palma Christi | Ricinus oil | Oleum Ricini | Castorbean Oil,Castor oil | Oleum ricini,Castor oil derivative (unspecified) | Castor Oil | Ethoxylated Castor Oil | Polyoxyl Castor Oil,Castor Oil,
DSI003164,Olive Oil,C0069449,,,,Olive (Olea europaea L. (Oleaceae) fruit) | Olive (Olea europaea L. (Oleaceae) fruit),,Olive Oil | Olive oil,Olive Oil,,
DSI003165,polyglycoplex,,,,,Xanthan gum,,polyglycoplex,,,
DSI003166,hexametaphosphate,C0062636,,,,,,Sodium hexametaphosphate,,,
DSI003167,2-oxopropanoic acid,C0072802,,,,Tartaric acid,,3-carboxy-3-oxopropanoic acid,,,
DSI003168,Povidone-Iodine,C0032857,,,,Povidone-iodine,,Povidone-Iodine | Povidone-iodine,,,
DSI003169,Magnesium sulphate heptahydrate,C0772046,,,,Magnesium sulfate heptahydrate,,Magnesium sulphate heptahydrate,,,
DSI003170,Ovarinum bovine,,,,,,,Ovarinum bovine,,,
DSI003171,Aralia armata,C1233323,,,,Root,,Aralia armata,,,
DSI003172,Calophyllum membranaceum,C3137145,,,,Whole plant,,Calophyllum membranaceum,,,
DSI003173,Diphasiastrum complanatum,C1004924,,,,Herb | Whole plant,,Diphasiastrum complanatum | Lycopodium complanatum,,,
DSI003174,Gnetum montanum,C0996630,,,,Stem(s),,Gnetum montanum,,,
DSI003175,Piper wallichii,C2282853,,,,Stem(s),,Piper wallichii,,,
DSI003176,Schoepfia chinensis,C3137203,,,,Whole plant,,Schoepfia chinensis,,,
DSI003177,Securidaca,C0330918,,,,Root bark,,Securidaca inappendiculata,,,
DSI003178,Cinnamomum bodinieri,C3106118,,,,Root bark,,Cinnamomum bodinieri,,,
DSI003179,Curcuma zedoaria,C1136307,,,,Root,,Curcuma zedoaria,,,
DSI003180,benzoin tincture,C1572617,,,,Gum resin from bark,,benzoin tincture,,,
DSI003181,Magnesium glucoheptonate,,,,,Mineral,,Magnesium glucoheptonate,,,
DSI003182,Jianqu,,,,,"Xanthium sibiricum,",,Jianqu,,,
DSI003183,Anise,C1138839,,,,Seed(s),,Anise,Anise,,
DSI003184,Dandelion,C0877851,"Dandelion is related to the daisy family and commonly found worldwide. The flower, leaf and root of this plant are used in traditional medicine for their diuretic, cholagogic, antirheumatic and appetite-stimulating properties . In Chinese Medicine, the herb has been used to promote lactation. It is also used to reduce abscesses, especially in the breast and intestines . In vitro and in vivo studies suggest that dandelion has lipid-lowering , hepatoprotective , antiviral , anticoagulant , diuretic , anti-inflammatory , and antioxidant activities. A polyherbal extract containing dandelion was reported effective against acute non-bacterial tonsillitis in children . Dandelion root extract demonstrated anticancer effects against melanoma and leukemia , as well as pancreatic and colorectal cancer cell lines. It also showed estrogenic activity. Preclinical studies suggest increased proliferation of hormone-sensitive breast cancer cells as well as increased uterine weight in immature female rats . In addition, it can cause allergic reactions and may interact with some prescription drugs. There have been a few case reports of potential benefit in patients with blood cancers , but it is unclear whether this was definitively due to dandelion supplementation. Clinical trials are needed to determine the conditions under which dandelion may be safe and effective.",,"The diuretic activity of dandelion may be a result of its high potassium content (23). In murine models of diet-induced fatty liver disease, dandelion leaf extract exihibited hepatoprotective effects with decreased serum levels of ALT, hepatic TG, and MDA, as well as TNF-alpha and IL-6 expression (14). At the post-transcriptional level, antioxidant and anti-inflammatory properties were exihibited via decreased activation of procaspase-3 to active caspase-3, and JNK phosphorylation (14). Linoleic acid, phytol and tetracosanol have been identified as bioactive compounds, with hypolipidemic effects occurring via AMP-activated protein kinase activation in human HepG2 cells (13).
Dandelion has been shown to decrease human hepatoma cell line viability by increasing tumor necrosis factor-alpha and interleukin-1alpha production (9). Other research has shown that the presence of luteolin and luteolin 7-glucoside in dandelion flower extract exhibits cytotoxic activities against the colon adenocarcinoma cell line (Caco-2) (4). An isolated compound identical to lupeol, a lupane-type triterpene, inhibited cell growth and induced melanogenesis in a mouse melanoma cell line (3). 
Sesquiterpene lactones are thought to be the allergenic compounds in dandelion (7).",,Blowball | Puffball | Lion's tooth | Pu gong ying | Swine snout | Wild endive,Dandelion,Dandelion,Dandelion,
DSI003185,Citrus fruits,C0600183,,,,Pulp,,Citrus fruits,,,
DSI003186,Ledebouriella,C2993631,,,,Root,,Ledebouriella divaricata,Ledebouriella (unspecified),,
DSI003187,myrobalan,C0971878,,,,Fruit | Fruit | Fruit(s),,Beleric myrobalan | Chebulic myrobalan | Terminalia catappa,Belleric myrobalan,,
DSI003188,acetaldehyde,C0000966,,,,D-Glucuronolactone | Acetaldehyde,,"2-(3,4-dihydroxy-5-oxo-oxolan-2-yl)-2-hydroxy-acetaldehyde | Acetaldehyde",,,
DSI003189,Acidum silicicum,,,,,Silicon dioxide,,Acidum silicicum,,,
DSI003190,Whitmania pigra,,,,,Body,,Whitmania pigra,,,
DSI003191,Amyloglucosidase,,,,,Rhizopus oryzae - Whole,,Amyloglucosidase,,,
DSI003192,Lamna nasus,,,,,Shark cartilage,,Lamna nasus,,,
DSI003193,Melaleuca leucadendra,C1092604,,,,Leaf,,Melaleuca leucadendra,,,
DSI003194,Benzoic acid,C0053225,,,,Benzoic acid | Chemical,,"Benzoic acid, 2-hydroxy-, methyl ester | Benzoic acid | Benzoic Acid",Benzoic acid,,
DSI003195,Squalus acanthias,,,,,Cartilage,,Squalus acanthias,,,
DSI003196,Calcium ascorbate,C0546173,,,,Vitamin C,,Calcium ascorbate,Calcium Ascorbate,,
DSI003197,Myroxylon,C0950064,,,,Stem bark | Resin,,Myroxylon Balsamum | Myroxylon toluifera,,,
DSI003198,S-Benzoylthiamine O-Monophosphate,,,,,,,S-Benzoylthiamine O-Monophosphate,,,
DSI003199,Extract of the liver and heart of Annas barbariae,,,,,,,Extract of the liver and heart of Annas barbariae,,,
DSI003200,Lentinus Edodes,,,,,Fruiting body,,Lentinus Edodes,,,
DSI003201,Artificial Calculus Bovis,,,,,Bile,,Artificial Calculus Bovis,,,
DSI003202,Pteria margaritifera,,,,,Pearl,,Pteria margaritifera,,,
DSI003203,Sanicula europaea,C1029059,,,,Fresh whole flowering plant,,Sanicula europaea,,,
DSI003204,lingzhi,,,,,,,lingzhi,,,
DSI003205,tricarboxylate,C0178870,,,,,,"Trisodium 2-hydroxypropane-1,2,3-tricarboxylate",,,
DSI003206,Endothelium Corneum Gieriae,,,,,,,Endothelium Corneum Gieriae,,,
DSI003207,Myrmeleon formicarius,,,,,Whole body,,Myrmeleon formicarius,,,
DSI003208,Pyrrosia sheareri,C2822660,,,,Leaf,,Pyrrosia sheareri,,,
DSI003209,Ascophyllum spp,,,,,Whole plant(s),,Ascophyllum spp,,,
DSI003210,Cactus,C0330340,,,,Fresh young stem and flowers,,Cactus,Cactus (unspecified) | Finger Cactus | Giant Cactus | Prickly Pear Cactus Fiber | Prickly Pear Cactus,,
DSI003211,Magnesium Aluminum Silicate,C0051515,,,,,,Magnesium Aluminum Silicate,,,
DSI003212,ornithine HCl,C3256799,,,,,,L-ornithine HCI,,,
DSI003213,m-Cresyl Acetate,C0056480,,,,,,Cresyl Acetate,,,
DSI003214,Eugenol,C0015153,,,,,,Eugenol,Eugenol,,
DSI003215,Cresol,C0174883,,,,,,Cresol,,,
DSI003216,Formaldehyde Solution,C0949307,,,,,,Formaldehyde Solution,,,
DSI003217,Formaldehyde,C0016564,,,,,,Formaldehyde,,,
DSI003218,She Dan Fel Serpentis,,,,,Gall bladder,,She Dan Fel Serpentis,,,
DSI003219,Rose hips,,,,,"Rosa canina, Fruit",,Rose hips,,,
DSI003220,Vitis vinifera seed extract,C3256816,,,,Seed(s),,Vitis vinifera seed extract,,,
DSI003221,Calcium Pantothenate,C0006710,,,,,,Calcium Pantothenate | Calcium D-pantothenate,,,
DSI003222,Potassium gluconate,C0301527,,,,Potassium gluconate,,Potassium gluconate | Potassium Gluconate,,,
DSI003223,Heparin sodium,C0037513,,,,,,Heparin sodium,,,
DSI003224,Zinc sulfate,C0078794,,,,Zinc sulfate monohydrate,,Zinc sulfate,,,
DSI003225,2-Hydroxypropanoic acid calcium salt,C0108121,,,,Calcium lactate | Calcium lactate,,2-Hydroxypropanoic acid calcium salt (2:1) | Calcium lactate,,,
DSI003226,Acorus americanus,C1499718,,,,Rhizome,,Acorus americanus,,,
DSI003227,Carbo mineralis,,,,,Mineral,,Carbo mineralis,,,
DSI003228,Rumex acetosa,C0330387,,,,Aerial parts,,Rumex acetosa,,,
DSI003229,Epimedium pubescens,C1073418,,,,Leaf,,Epimedium pubescens,,,
DSI003230,"1,7,7-trimethylnorbornan-2-one",,,,,Leaf/Leaves,,"1,7,7-trimethylnorbornan-2-one",,,
DSI003231,Eucalyptus globulus oil,C4704812,,,,Eucalyptus Globulus - leaves,,Eucalyptus globulus oil,,,
DSI003232,Pinus palustris,C0553381,,,,Whole plant(s) | Whole plant(s) | Bark extract,,Pinus palustris oil | Pinus palustris/other pinus species | Pinus palustris,,,
DSI003233,Clematis hexapetala,C1666797,,,,Root,,Clematis hexapetala,,,
DSI003234,Siegesbeckia orientalis,C1209368,,,,Whole plant(s) | Herb,,Siegesbeckia orientalis | Sigesbeckia orientalis,,,
DSI003235,Rein,,,,,,,Rein,,,
DSI003236,Heart,,,,,Beef,,Heart,Heart,,
DSI003237,Sabal serrulatum,,,,,Fresh ripe fruits,,Sabal serrulatum,,,
DSI003238,Elmus repens,,,,,Herb,,Elmus repens,,,
DSI003239,Phytostanols,,,,,Pine trees (Pinus sp.),,Phytostanols,,,
DSI003240,Cortex,C2700441,,,,Bark | Bark,,Cortex Phellodendri | Cortex moutan,Prickly Ash Bark,,
DSI003241,radix rehmanniae preparata,C4331284,,,,Root (processed),,Radix rehmanniae preparata,,,
DSI003242,Ulkenia profunda,C1006631,,,,Algae,,Ulkenia profunda,,,
DSI003243,norpseudoephedrine hydrochloride,C0772182,,,,,,d-pseudoephedrine hydrochloride,,,
DSI003244,Guaiacol,C0018304,,,,Guaiacol,,Guaiacol | 1-Hydroxy-2-methoxybenzene,,,
DSI003245,N-acetylglucosamine,C0001056,,,,,,N-acetylglucosamine | 2-Acetamido-2-deoxy-D-glucose | N-Acetylglucosamine,N-acetylglucosamine | N-Acetyl Glucosamine,,
DSI003246,Melaleuca,C1078447,,,,Leaf,,Melaleuca Cajuputi,,,
DSI003247,Piper puberulum,C2310104,,,,Stem(s),,Piper puberulum,,,
DSI003248,Halloysite,,,,,Aluminum silicate,,Halloysite,Halloysite,,
DSI003249,Hydrargyrum biiodatum,,,,,Mercury (II) iodide,,Hydrargyrum biiodatum,,,
DSI003250,Larix occidentalis,C0996598,,,,Bark | Bark,,Larix occidentalis Arabinogalactan | Larix occidentalis,,,
DSI003251,L-arginine hydrochloride,,,,,,,L-arginine hydrochloride,,,
DSI003252,Cyanocobalamin,C0042845,,,,Chlorella vulgaris - Broken Cell,,Cyanocobalamin,Vitamin B12 (cyanocobalamin),,
DSI003253,Ammonium chloride,C0002615,,,,Ammonium chloride,,Ammonium chloride,Ammonium chloride,,
DSI003254,Myroxylon balsamum,C0950065,,,,Balsam,,Myroxylon balsamum,,,
DSI003255,Curcumin,C0010467,,,,Curcuma longa - rhizome,,Curcumin,Curcumin,,
DSI003256,L-ornithine alphaketoglutarate,,,,,,,L-ornithine alphaketoglutarate,,,
DSI003257,Indole-3-carbinol,C0063491,"Indole-3-Carbinol (I3C) is a phytochemical derived from the breakdown of glucosinolates found in cruciferous vegetables including Brussels sprouts, kale, broccoli, cabbage, and cauliflower . Epidemiologic studies suggest that a diet high in cruciferous vegetables is associated with protective effects and lower cancer risk .Preclinical studies suggest antimicrobial , anti-inflammatory , anti-estrogenic , and antiangiogenic effects. Potential activity against human breast , prostate , melanoma , endometrial , liver , and pancreatic cancer cells , as well as animal models of lung , laryngeal , and nasopharyngeal carcinoma have also been exhibited. In addition, preliminary experiments suggest I3C may enhance effects of vorinostat , bortezomib , tamoxifen , doxorubicin , vemurafenib , fludarabine , gemcitabine , or acetylsalicylic acid , and may reverse toxicities of dexamethasone or doxorubicin . However, these effects have not been confirmed in humans and some models suggest that I3C may also promote tumor growth . Additional studies are needed to determine under what conditions I3C could be a suitable chemopreventive agent in humans.Data from early phase clinical trials suggested that I3C is effective against precancerous cervical dysplasia and vulvar intraepithelial neoplasia . In premenopausal women, a supplement containing I3C and 7-hydroxymatairesinol, a dietary ingredient, increased the urinary 2:16-hydroxyestrone ratio, a known biomarker for the reduction of breast cancer risk . More recently, an RCT of a diindolylmethane formulation (DIM, an active I3C metabolite) in breast cancer patients on tamoxifen suggest it encourages beneficial changes in estrogen metabolism and circulating sex hormone-binding globulin levels .I3C is generally well tolerated when taken orally, but it is unclear if I3C supplementation can benefit humans due to its mixed effects in preliminary studies and its ability to induce cytochrome P450 enzymes , which may cause interactions with several medications. In addition, a recent study to measure Brassica consumption in humans suggests that the chemopreventive effects derived from cruciferous vegetable consumption may plateau and not require eating large quantities or taking high-dose supplements .",,"I3C is derived from the breakdown of glucobrassicin produced in cruciferous vegetables (39). Some health-protective effects are attributed to epigenetic mechanisms (63). I3C counteracted HPV16 immune evasion by antagonizing E6 repression of E-cadherin (64). It decreased proinflammatory cytokine production and T-cell activation by acting as histone deacetylase class I inhibitors (31). Hepatoprotective mechanisms include immunomodulation and inhibition of proinflammatory cytokines and chemokines (66), decreased miR-31 expression, and subsequent T-cell apoptosis (32).In cancer cells, I3C at higher doses induced apoptosis, while lower doses inhibited cell growth and cyclin E and CDK2 expression (27). Antiproliferative effects may occur by regulating microRNAs that regulate gene expression (65) and upregulation of apoptotic enzymes (48). Other observed activities include estrogen receptor modulation (15) (34) and reductions in MMP-2/9 and aromatase expression (16) (36) (37). In lung carcinoma cells, I3C induced G0/G1 apoptosis and cell cycle arrest (12). In gemcitabine-resistant pancreatic cancer cells, chemosensitizing occurred via downregulated microRNA-21 (43), lower LD50 of gemcitabine, and reactivation of the p16INK4a tumor suppressor gene (19). In melanoma cells, G1 apoptosis/arrest occurred via stabilization of wild-type PTEN expression (39). In prostate cancer cells, I3C inhibits Akt activation, androgen-dependent pathways, and inflammation (8) (38). In murine models, it reduced proinflammatory and procarcinogenic proteins (44).I3C coadministration with doxorubicin potentiated cytotoxic effects compared with either agent alone in pre-B acute lymphoblastic leukemia cells (49). Along with vorinostat, it modulated re-expression of critical receptors in certain triple negative breast cancer subtypes (69). I3C with genistein produced synergy of apoptosis and TRAIL in endometrial cancer cells (40). It reversed dexamethasone cytotoxicity via ROS inhibition and enhanced Nrf2 expression (54).Some animal studies suggest that I3C is both an inhibitor and promoter of carcinogenesis with strong induction of placental glutathione S-transferase foci in the liver (57), and modulatory activity that included apoptotic inhibition in colon tumors (55). In addition, I3C may promote endometrial adenocarcinoma through hepatic CYP1 induction and estrogen metabolism modulation (56).","Synthetic | Indole-3-carbinol | Broccoli, Brussels sprouts, cabbage, cauliflower, collards, kale, kohlrabi, mustard greens, rapeseed, rutabaga, turnips",I3C | Indole-3-methanol | 3-(Hydroxymethyl)indole | 3-Indolylcarbinol | Indolylmethanol,Indole-3-carbinol | Indole-3-Carbinol,Indole-3-Carbinol (I3C),Indole-3-Carbinol,
